"Particle.ID","Class","Area..ABD.","Area..Filled.","Aspect.Ratio","Calibration.Factor","Calibration.Image","Camera","Capture.X","Capture.Y","Circle.Fit","Circularity","Circularity..Hu.","Compactness","Convex.Perimeter","Convexity","Date","Diameter..ABD.","Diameter..ESD.","Diameter..FD.","Edge.Gradient","Elapsed.Time","Elongation","Feret.Angle.Max","Feret.Angle.Min","Fiber.Curl","Fiber.Straightness","Filter.Score","Geodesic.Aspect.Ratio","Geodesic.Length","Geodesic.Thickness","Image.File","Image.Height","Image.Width","Image.X","Image.Y","Intensity","Length","Original.Reference.ID","Particles.Per.Chain","Perimeter","Roughness","Sigma.Intensity","Source.Image","Sphere.Complement","Sphere.Count","Sphere.Unknown","Sphere.Volume","Sum.Intensity","Symmetry","Time","Timestamp","Transparency","Volume..ABD.","Volume..ESD.","Width","Genus","Family","Order","Nauplius","Group","Zooplankton","Partial","Final_ID","Check"
1,"Copepoda",38916.5018,38916.5018,0.4042,9.47,1,1,551,249,0.2444,0.495,0.6487,2.0202,1040.1384,0.9235,"2025-11-05",222.5984,311.1946,222.5984,129.7264,20.421,4.1031,45,-50,0.0584,0.9448,0,0.2437,476.0954,116.0344,"20240603_Erie_WNS0309_2mm_Rep2_000001.tif",52,45,1009,521,81.0519,449.825,"208349B5-F71A-4095-AE58-C7F55380144E",1,1184.2595,1.1386,57.578,161,0,0,0,0,49928,0.5271,"8:23:45","2025-11-05T08:23:45.544",0.2847,5780000,15800000,146.785,,,,"No","Copepod","Yes",,,0
2,"Copepoda",63405.717,63405.717,0.6689,9.47,1,1,595,1226,0.3669,0.4857,0.7478,2.059,1236.2593,0.8187,"2025-11-05",284.1314,373.0129,284.1314,81.5746,99.109,4.2323,-55,65,0.297,0.771,0,0.2363,595.7211,140.7565,"20240603_Erie_WNS0309_2mm_Rep2_000002.tif",51,56,746,375,111.1636,459.295,"357DCD33-8FF5-4410-AA4D-9395D989E231",1,1472.9553,1.1915,68.0601,785,0,0,0,0,103938,0.3595,"8:25:04","2025-11-05T08:25:04.230",0.2383,1.2e+07,27200000,269.895,,,,"No","Copepod","Yes",,,0
3,"Copepoda",83867.9924,83867.9924,0.4827,9.47,1,1,695,728,0.347,0.5121,0.6975,1.9526,1387.6467,0.8685,"2025-11-05",326.7783,422.4671,326.7783,67.383,163.796,3.8764,-75,40,0.1837,0.8448,0,0.258,644.5379,166.2721,"20240603_Erie_WNS0309_2mm_Rep2_000003.tif",67,57,408,338,119.1916,544.525,"DB0852CA-9418-4DEB-A6C4-1A583254C3F3",1,1621.6201,1.1686,63.9089,1298,0,0,0,0,142434,0.565,"8:26:08","2025-11-05T08:26:08.919",0.2265,18300000,39500000,260.425,,,,"No","Copepod","Yes",,,0
4,"Copepoda",62704.1109,62704.1109,0.4918,9.47,1,1,994,516,0.3716,0.4478,0.7052,2.233,1275.7122,0.8031,"2025-11-05",282.555,388.5333,282.555,106.0507,184.109,4.8071,-80,15,0.2471,0.8019,0,0.208,631.8277,131.4354,"20240603_Erie_WNS0309_2mm_Rep2_000003.tif",66,42,977,485,104.8629,506.645,"A548ACDB-4C2D-4BB1-B788-85A1EAFAD33B",1,1526.5261,1.1966,63.6452,1459,0,0,0,0,97103,0.5864,"8:26:29","2025-11-05T08:26:29.221",0.2728,11800000,30700000,222.545,,,,"No","Copepod","Yes",,,0
5,"Copepoda",43604.7071,43604.7071,0.4146,9.47,1,1,979,1795,0.2437,0.3998,0.5717,2.5013,1124.7254,0.8057,"2025-11-05",235.6252,338.2892,235.6252,63.3643,228.484,5.682,25,-85,0.3641,0.7331,0,0.176,587.7828,103.4458,"20240603_Erie_WNS0309_2mm_Rep2_000004.tif",38,57,999,0,114.0811,430.885,"5985EE3C-FB09-4ADD-A7BA-890706251692",1,1382.4571,1.2292,48.9956,1811,0,0,0,0,77347,0.3805,"8:27:13","2025-11-05T08:27:13.607",0.3035,6850000,20300000,213.075,,,,"No","Copepod","Yes",,,0
6,"Copepoda",69506.7817,69506.7817,0.6129,9.47,1,1,835,627,0.4015,0.4283,0.7467,2.3351,1329.8437,0.778,"2025-11-05",297.4875,403.7904,297.4875,98.979,318.015,5.1414,-85,-15,0.3003,0.769,0,0.1945,683.4299,132.9277,"20240603_Erie_WNS0309_2mm_Rep2_000005.tif",69,46,925,414,104.7295,525.585,"19B86E8C-0A63-408C-83BF-2FF3EC8CE3C4",1,1632.7151,1.2277,66.4187,2521,0,0,0,0,106091,0.469,"8:28:43","2025-11-05T08:28:43.139",0.2633,13800000,34500000,269.895,,,,"No","Copepod","Yes",,,0
7,"Copepoda",70841.1218,70841.1218,0.573,9.47,1,1,1000,222,0.3721,0.3629,0.7117,2.7555,1356.1788,0.7652,"2025-11-05",300.3293,410.8929,300.3293,134.8841,355.593,6.5029,20,-75,0.5589,0.6415,0,0.1538,775.0345,119.1835,"20240603_Erie_WNS0309_2mm_Rep2_000005.tif",50,62,967,1637,83.8437,497.175,"1E6B75AE-573B-4415-A6D3-614D9C368C86",1,1788.436,1.3187,55.9081,2819,0,0,0,0,86359,0.4229,"8:29:20","2025-11-05T08:29:20.716",0.2691,14200000,36300000,307.775,,,,"No","Copepod","Yes",,,0
8,"Copepoda",77219.6967,77219.6967,0.4943,9.47,1,1,527,1200,0.3655,0.4737,0.708,2.1112,1362.537,0.8497,"2025-11-05",313.5589,414.0492,313.5589,68.4932,396.578,4.4054,0,-90,0.2837,0.779,0,0.227,662.5224,150.3881,"20240603_Erie_WNS0309_2mm_Rep2_000006.tif",39,69,194,690,118.8542,516.115,"FD64664D-AC09-4DA7-BA56-747443F717AA",1,1625.821,1.1932,64.0299,3144,0,0,0,0,132047,0.5967,"8:30:01","2025-11-05T08:30:01.698",0.2427,16100000,37200000,232.015,,,,"No","Copepod","Yes",,,0
9,"Copepoda",73671.8979,73671.8979,0.6167,9.47,1,1,931,476,0.3962,0.4058,0.7115,2.4641,1399.684,0.7494,"2025-11-05",306.2711,425.6235,306.2711,87.25,408.187,5.5613,40,-45,0.5247,0.6559,0,0.1798,729.1489,131.1115,"20240603_Erie_WNS0309_2mm_Rep2_000006.tif",61,59,261,1021,109.6173,478.235,"D33DF81E-730C-4B42-9C3C-C8793DA586A0",1,1720.521,1.2292,63.6362,3236,0,0,0,0,116852,0.4802,"8:30:13","2025-11-05T08:30:13.300",0.2804,1.5e+07,40400000,345.655,,,,"No","Copepod","Yes",,,0
10,"Copepoda",60291.4502,60369.1795,0.6035,9.47,1,1,796,1445,0.3556,0.4078,0.6957,2.4523,1245.3505,0.751,"2025-11-05",277.0658,376.4325,277.2443,134.8333,447.14,5.523,-85,20,0.4504,0.6894,0,0.1811,666.179,120.6194,"20240603_Erie_WNS0309_2mm_Rep2_000007.tif",62,49,325,0,98.6436,459.295,"BCB6F5EF-42B2-4EA0-962D-E0E09675474E",1,1573.5968,1.2636,67.4363,3545,0,0,0,0,88286,0.3573,"8:30:52","2025-11-05T08:30:52.265",0.264,11100000,27900000,288.835,,,,"No","Copepod","Yes",,,0
